;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;2,00;;0,00;0,00;19,30;0,00;6,30;;0,00;1,50;20,50;4,50;0,00;10,60;;
;2;0,00;;0,00;0,00;17,20;0,00;23,20;;10,20;15,30;12,30;12,20;17,50;15,30;;
;3;0,00;;0,00;1,50;49,20;0,00;8,20;;0,00;18,40;6,30;32,50;2,00;22,00;;
;4;0,00;;0,00;12,10;15,50;0,00;20,50;;0,00;5,00;6,50;0,00;0,00;8,20;;
;5;3,00;;0,00;2,00;2,50;0,00;17,50;;0,00;18,00;4,20;0,00;0,00;12,50;;
;6;4,60;;0,00;0,00;27,30;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;39,60;;
;7;0,40;;0,00;0,00;23,50;6,00;0,00;;0,00;0,00;0,00;0,00;3,10;48,60;;
;8;0,00;;0,00;0,00;28,30;7,50;0,00;;0,00;3,00;6,50;0,00;0,00;50,30;;
;9;0,00;;0,00;0,00;4,00;4,50;0,00;;10,10;0,00;8,40;0,00;0,00;37,50;;
;10;0,00;;3,00;0,00;25,30;0,00;16,30;;31,40;14,30;0,00;0,00;0,00;20,60;;
;11;0,00;;0,00;1,00;18,50;16,30;3,20;;19,20;12,50;0,00;0,00;0,00;4,20;;
;12;0,00;;0,00;0,50;14,30;11,20;5,30;;29,20;14,50;2,00;0,00;8,50;1,50;;
;13;2,80;;0,00;15,00;0,00;1,00;1,00;;5,40;20,40;5,50;0,00;12,30;2,40;;
;14;1,60;;15,50;2,00;6,10;2,30;26,80;;20,00;16,30;0,00;0,00;6,60;8,00;;
;15;6,40;;3,00;4,10;5,20;6,30;20,30;;18,50;5,10;0,00;0,00;0,80;16,30;;
;16;12,10;;20,40;0,30;14,50;2,20;6,50;;2,20;12,30;2,00;0,00;3,00;13,20;;
;17;11,40;;5,20;0,00;1,00;0,00;15,30;;12,20;35,20;0,00;0,00;2,30;9,40;;
;18;21,40;;2,30;0,00;18,30;0,00;19,40;;0,00;3,00;0,00;0,00;3,40;0,00;;
;19;20,80;;0,00;15,30;41,00;6,10;4,50;;0,50;0,00;0,00;0,00;0,00;0,00;;
;20;27,60;;1,00;29,20;3,00;8,20;20,30;;2,00;0,00;0,00;0,00;0,00;21,80;;
;21;1,60;;14,10;13,00;0,00;5,30;8,20;;2,40;0,00;0,00;0,00;0,00;6,10;;
;22;33,60;;0,00;0,00;0,00;1,20;25,30;;0,00;5,00;0,00;0,00;0,00;2,50;;
;23;0,00;;0,00;0,00;0,00;3,10;5,50;;0,00;12,30;0,00;6,30;2,00;3,10;;
;24;11,20;;0,00;6,00;3,00;0,00;0,00;;0,00;5,80;0,00;14,50;0,00;50,50;;
;25;0,00;;7,30;10,20;38,20;1,00;19,30;;0,00;15,40;0,00;9,30;0,00;1,00;;
;26;21,40;;0,50;15,40;11,00;29,50;14,20;;0,00;1,00;0,00;34,80;0,00;0,00;;
;27;23,40;;0,00;12,30;0,00;0,00;31,50;;1,00;6,00;0,00;2,20;0,00;2,00;;
;28;8,50;;0,00;9,20;3,00;22,30;18,20;;6,50;14,20;3,00;0,00;0,00;3,10;;
;29;11,40;;;0,00;9,10;0,00;8,20;;8,50;2,10;2,40;0,00;3,00;23,50;;
;30;5,00;;;0,00;0,00;0,00;0,00;;12,30;26,70;0,00;0,00;0,00;0,00;;
;31;0,00;;;2,00;;0,00;;;0,00;11,30;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
